"Scientific","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","BodyMass.Value"
"Callithrix kuhlii","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.83773044716594
"Callithrix geoffroyi","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.83773044716594
"Callithrix aurita","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.83773044716594
"Callithrix penicillata","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.83773044716594
"Callithrix jacchus","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.68017260901707
"Callithrix intermedia","Cebidae",50,0,0,0,0,0,30,20,0,0,0,0,1,5.81892499016864
"Callithrix leucippe","Cebidae",20,0,0,0,0,0,40,40,0,0,0,0,1,5.81892499016864
"Callithrix manicorensis","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.81892499016864
"Callithrix marcai","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.81892499016864
"Callithrix melanura","Cebidae",20,0,0,0,0,0,40,20,0,20,0,0,1,5.81892499016864
"Callithrix humeralifera","Cebidae",20,0,0,0,20,0,60,0,0,0,0,0,1,5.92956254729154
"Callithrix saterei","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,6.09187533303989
"Callithrix mauesi","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,6.09760226066926
"Callithrix emiliae","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.73844151714104
"Callithrix chrysoleuca","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.81892499016864
"Callithrix argentata","Cebidae",20,0,0,0,20,0,60,0,0,0,0,0,1,6.08904487544685
"Callithrix acariensis","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.81892499016864
"Callithrix humilis","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.81892499016864
"Leontopithecus rosalia","Cebidae",50,0,0,0,0,0,50,0,0,0,0,0,1,6.28506656207075
"Leontopithecus chrysopygus","Cebidae",50,0,0,0,0,0,50,0,0,0,0,0,1,6.55250788703459
"Leontopithecus chrysomelas","Cebidae",50,0,0,0,0,0,50,0,0,0,0,0,1,6.35228090354726
"Leontopithecus caissara","Cebidae",50,0,0,0,0,0,50,0,0,0,0,0,1,6.35088571671474
"Cebus apella","Cebidae",20,0,0,0,10,0,20,10,20,20,0,0,1,7.82444593087762
"Cebus capucinus","Cebidae",20,0,0,0,10,0,20,10,20,20,0,0,1,7.91363805505797
"Cebus kaapori","Cebidae",10,0,0,0,0,0,70,0,10,10,0,0,1,8.00670084544037
"Cebus nigritus","Cebidae",20,0,0,0,10,0,40,20,0,10,0,0,1,7.89663082359144
"Cebus olivaceus","Cebidae",20,0,0,0,10,0,20,10,20,20,0,0,1,7.86364357606884
"Cebus xanthosternos","Cebidae",20,0,0,0,10,0,40,20,0,10,0,0,1,7.89663082359144
"Cebus albifrons","Cebidae",20,0,0,0,10,0,20,10,20,20,0,0,1,7.87473912517181
"Cebus libidinosus","Cebidae",20,0,0,0,10,0,40,20,0,10,0,0,1,7.89663082359144
"Saimiri boliviensis","Cebidae",20,0,0,0,20,0,20,0,20,20,0,0,1,6.42326319716799
"Saimiri oerstedii","Cebidae",20,0,0,0,20,0,20,0,20,20,0,0,1,5.63300229259515
"Saimiri sciureus","Cebidae",20,0,0,0,20,0,20,0,20,20,0,0,1,6.6123635634603
"Saimiri ustus","Cebidae",20,0,0,0,20,0,20,0,20,20,0,0,1,6.90875477931522
"Saimiri vanzolinii","Cebidae",20,0,0,0,20,0,20,0,20,20,0,0,1,6.64718240900897
"Ateles paniscus","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,8.97475094101558
"Ateles geoffroyi","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,8.57280574436202
"Ateles hybridus","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,8.76340462152124
"Ateles fusciceps","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,9.11613957657736
"Ateles marginatus","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,8.69967806820609
"Ateles chamek","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,8.69967806820609
"Ateles belzebuth","Atelidae",10,0,0,0,10,0,60,0,10,10,0,0,1,8.5173931714189
"Brachyteles hypoxanthus","Atelidae",0,0,0,0,0,0,20,10,0,70,0,1,1,9.51051014748724
"Brachyteles arachnoides","Atelidae",0,0,0,0,0,0,20,10,20,50,0,1,1,9.51051014748724
"Lagothrix lagotricha","Atelidae",10,0,0,0,0,0,70,0,10,10,0,0,1,8.74846204289112
"Lagothrix lugens","Atelidae",0,0,0,0,0,0,70,10,0,20,0,0,1,1.94591014905531
"Lagothrix poeppigii","Atelidae",0,0,0,0,0,0,70,10,0,20,0,0,1,4.14804329455604
"Lagothrix cana","Atelidae",0,0,0,0,0,0,70,10,0,20,0,0,1,2.00148000021012
"Oreonax flavicauda","Atelidae",0,0,0,0,0,0,70,10,0,20,0,0,1,9.01555587436676
"Alouatta seniculus","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.72364460085487
"Alouatta guariba","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.5543598734142
"Alouatta belzebul","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.764209507142
"Alouatta caraya","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.67649515201377
"Alouatta coibensis","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.75164219459621
"Alouatta macconnelli","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.75164219459621
"Alouatta nigerrima","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.75164219459621
"Alouatta palliata","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.89232966770676
"Alouatta sara","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.79664750852939
"Alouatta pigra","Atelidae",0,0,0,0,0,0,40,0,0,60,0,0,1,8.85381256007014
"Aotus nigriceps","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.96697656364026
"Aotus miconax","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.68586094706836
"Aotus azarae","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.83579730162464
"Aotus vociferans","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.77306893394248
"Aotus lemurinus","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.77306893394248
"Aotus nancymaae","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.67077899503679
"Aotus trivirgatus","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.80349415876761
"Aotus hershkovitzi","Aotidae",20,0,0,0,10,0,20,10,20,20,1,0,0,6.68586094706836
"Callicebus ornatus","Pitheciidae",20,0,0,0,0,0,70,0,0,10,0,0,1,7.06604025794785
"Callicebus caligatus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus baptista","Pitheciidae",10,0,0,0,0,0,70,0,10,10,0,0,1,6.92000000539857
"Callicebus brunneus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus bernhardi","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.85751406254539
"Callicebus coimbrai","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.92000000539857
"Callicebus barbarabrownae","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.92000000539857
"Callicebus stephennashi","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.53813982376767
"Callicebus cinerascens","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus pallescens","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.68586094706836
"Callicebus olallae","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus oenanthe","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus nigrifrons","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.92000000539857
"Callicebus dubius","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus hoffmannsi","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus personatus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,7.2085929360083
"Callicebus donacophilus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.67961174857954
"Callicebus discolor","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.91373735065968
"Callicebus melanochir","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,7.22329567956231
"Callicebus modestus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.90114346906108
"Callicebus cupreus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.82001636467413
"Callicebus moloch","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.75195490582547
"Callicebus regulus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.92000000539857
"Callicebus torquatus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.95749737087695
"Callicebus purinus","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.92000000539857
"Callicebus lugens","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,6.92000000539857
"Callicebus lucifer","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,7.31388683163346
"Callicebus medemi","Pitheciidae",20,0,0,0,0,0,50,0,0,30,0,0,1,7.09506437728713
"Cacajao calvus","Pitheciidae",10,0,0,0,10,0,70,0,0,10,0,0,1,8.66509927139416
"Cacajao melanocephalus","Pitheciidae",10,0,0,0,10,0,70,0,0,10,0,0,1,8.03947991910045
"Chiropotes chiropotes","Pitheciidae",10,0,0,0,0,0,70,0,20,0,0,0,1,7.98975704017811
"Chiropotes albinasus","Pitheciidae",10,0,0,0,0,0,40,0,20,30,0,0,1,7.97281423120267
"Chiropotes utahickae","Pitheciidae",0,0,0,0,0,0,30,0,50,20,0,0,1,7.98975704017811
"Chiropotes israelita","Pitheciidae",10,0,0,0,0,0,70,0,20,0,0,0,1,7.98975704017811
"Chiropotes satanas","Pitheciidae",10,0,0,0,0,0,40,0,20,30,0,0,1,8.00669751321222
"Pithecia pithecia","Pitheciidae",0,30,0,0,0,0,30,10,0,30,0,0,1,7.22729932458266
"Pithecia irrorata","Pitheciidae",0,30,0,0,0,0,30,10,0,30,0,0,1,7.71511914331886
"Pithecia albicans","Pitheciidae",0,30,0,0,0,0,30,10,0,30,0,0,1,7.93773534540725
"Pithecia aequatorialis","Pitheciidae",0,30,0,0,0,0,30,10,0,30,0,0,1,7.71912539842685
"Pithecia monachus","Pitheciidae",0,30,0,0,0,0,30,10,0,30,0,0,1,7.33857619435261
"Allenopithecus nigroviridis","Cercopithecidae",50,0,0,0,0,0,50,0,0,0,0,0,1,8.46610198187133
"Macaca leonina","Cercopithecidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.66353517687746
"Macaca maura","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.89576660405609
"Macaca mulatta","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.21986474191265
"Macaca nemestrina","Cercopithecidae",10,0,0,0,0,0,70,0,10,10,0,0,1,8.74790800822677
"Macaca nigra","Cercopithecidae",10,0,0,0,0,0,70,0,10,10,0,0,1,8.764209507142
"Macaca nigrescens","Cercopithecidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.66353517687746
"Macaca ochreata","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,7.86365126544865
"Macaca radiata","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.21365270303
"Macaca arctoides","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.5173931714189
"Macaca hecki","Cercopithecidae",10,0,0,0,0,0,60,0,10,20,0,0,1,8.66353517687746
"Macaca pagensis","Cercopithecidae",10,0,0,0,0,0,60,0,10,20,0,0,1,8.41972588668996
"Macaca fascicularis","Cercopithecidae",50,0,0,0,0,0,40,0,0,10,0,0,1,8.29217288008917
"Macaca cyclopis","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.69968140098951
"Macaca assamensis","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,9.39274525863144
"Macaca siberu","Cercopithecidae",10,0,0,0,0,0,60,0,10,20,0,0,1,8.66353517687746
"Macaca silenus","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.46611040118692
"Macaca tonkeana","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,9.10509096125709
"Macaca thibetana","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,9.39274525863144
"Macaca sylvanus","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.85381256007014
"Macaca sinica","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,8.18618599422608
"Macaca fuscata","Cercopithecidae",10,0,0,0,0,0,30,0,20,40,0,0,1,9.24965723435313
"Cercocebus galeritus","Cercopithecidae",20,0,0,0,10,0,70,0,0,0,0,0,1,8.96648633138379
"Cercocebus sanjei","Cercopithecidae",0,0,0,0,0,0,70,0,0,30,0,0,1,8.98732181285012
"Cercocebus atys","Cercopithecidae",10,0,0,0,0,0,40,0,50,0,0,0,1,8.84537976799353
"Cercocebus agilis","Cercopithecidae",20,0,0,0,10,0,70,0,0,0,0,0,1,8.98732181285012
"Cercocebus chrysogaster","Cercopithecidae",20,0,0,0,10,0,70,0,0,0,0,0,1,9.39274525863144
"Cercocebus torquatus","Cercopithecidae",20,0,0,0,10,0,70,0,0,0,0,0,1,8.95557327580569
"Cercopithecus sclateri","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.12444685571585
"Cercopithecus mona","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.34505876911842
"Cercopithecus neglectus","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.60904102055987
"Cercopithecus nictitans","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.66636119257778
"Cercopithecus petaurista","Cercopithecidae",20,0,0,0,0,0,30,0,20,30,0,0,1,7.92875911698979
"Cercopithecus pogonias","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.23375808781178
"Cercopithecus roloway","Cercopithecidae",40,0,0,0,0,0,50,0,0,10,0,0,1,8.61268517287546
"Cercopithecus solatus","Cercopithecidae",0,0,0,0,10,0,50,0,30,10,0,0,1,8.77971129020447
"Cercopithecus wolfi","Cercopithecidae",0,0,0,0,0,0,70,0,20,10,0,0,1,8.29429960885724
"Cercopithecus mitis","Cercopithecidae",0,0,0,0,10,0,50,0,30,10,0,0,1,8.5173931714189
"Cercopithecus kandti","Cercopithecidae",10,0,0,0,0,0,60,0,0,30,0,0,1,8.36462459277163
"Cercopithecus preussi","Cercopithecidae",0,0,0,0,10,0,50,0,30,10,0,0,1,8.56617381363786
"Cercopithecus doggetti","Cercopithecidae",0,0,0,0,10,0,50,0,30,10,0,0,1,8.36462459277163
"Cercopithecus albogularis","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.36462459277163
"Cercopithecus ascanius","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.17498453294309
"Cercopithecus campbelli","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.31897637162589
"Cercopithecus cephus","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.15650448882885
"Cercopithecus diana","Cercopithecidae",30,0,0,0,10,0,50,0,0,10,0,0,1,8.33711631344472
"Cercopithecus dryas","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.03138533062553
"Cercopithecus erythrogaster","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,7.82444593087762
"Cercopithecus erythrotis","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.27367599980895
"Cercopithecus hamlyni","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.83579236650274
"Cercopithecus lhoesti","Cercopithecidae",0,0,0,0,10,0,50,0,30,10,0,0,1,8.58970360243416
"Cercopithecus lowei","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.38958706681109
"Cercopithecus denti","Cercopithecidae",20,0,0,0,10,0,50,0,10,10,0,0,1,8.41205487329293
"Chlorocebus cynosuros","Cercopithecidae",10,0,0,0,20,0,40,0,10,20,0,0,1,8.51599247083972
"Chlorocebus sabaeus","Cercopithecidae",20,0,0,0,20,0,40,0,0,20,0,0,1,8.51599247083972
"Chlorocebus tantalus","Cercopithecidae",20,0,0,0,0,0,50,0,0,30,0,0,1,8.51599247083972
"Chlorocebus djamdjamensis","Cercopithecidae",10,0,0,0,0,0,10,0,0,80,0,0,1,8.69968140098951
"Chlorocebus aethiops","Cercopithecidae",20,0,0,0,20,0,40,0,0,20,0,0,1,8.33230835221912
"Chlorocebus pygerythrus","Cercopithecidae",20,0,0,0,20,0,40,0,0,20,0,0,1,8.51599247083972
"Erythrocebus patas","Cercopithecidae",0,0,0,0,0,0,40,0,20,40,0,0,1,8.99850761180784
"Lophocebus albigena","Cercopithecidae",0,0,0,0,0,0,50,0,0,50,0,0,1,8.94781389435285
"Lophocebus aterrimus","Cercopithecidae",0,0,0,0,0,0,40,20,40,0,0,0,1,8.78130515853058
"Lophocebus opdenboschi","Cercopithecidae",0,0,0,0,0,0,40,20,40,0,0,0,1,8.86455873706064
"Mandrillus leucophaeus","Cercopithecidae",10,0,0,0,10,0,40,0,30,10,0,0,1,9.61586947803643
"Mandrillus sphinx","Cercopithecidae",10,0,0,0,10,0,40,0,30,10,0,0,1,9.81196857702621
"Miopithecus talapoin","Cercopithecidae",50,0,0,0,0,0,50,0,0,0,0,0,1,7.13169851046691
"Miopithecus ogouensis","Cercopithecidae",20,0,0,0,0,0,80,0,0,0,0,0,1,7.13169851046691
"Papio cynocephalus","Cercopithecidae",10,0,0,0,10,0,20,0,0,60,0,0,1,9.66922933654512
"Papio ursinus","Cercopithecidae",20,0,0,0,10,0,40,0,20,10,0,0,1,9.78303821545519
"Papio anubis","Cercopithecidae",10,40,0,0,0,0,20,0,0,30,0,0,1,9.78298858206545
"Papio papio","Cercopithecidae",10,0,0,0,20,0,20,0,10,40,0,0,1,9.79962868661554
"Colobus angolensis","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.19532825185568
"Colobus guereza","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.2687036152731
"Colobus polykomos","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.20215193807062
"Colobus satanas","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.37123287877268
"Colobus vellerosus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.94912884285394
"Nasalis larvatus","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.10509096125709
"Piliocolobus preussi","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.09005909330778
"Piliocolobus tholloni","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.05866712078676
"Piliocolobus rufomitratus","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,0,1,8.99115771594909
"Piliocolobus pennantii","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.29624280097689
"Piliocolobus kirkii","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,8.87616609302664
"Piliocolobus gordonorum","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.05866712078676
"Piliocolobus foai","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.05866712078676
"Piliocolobus tephrosceles","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.05866712078676
"Piliocolobus badius","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.03971811075407
"Presbytis frontata","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.70797882662232
"Presbytis thomasi","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.80851861878282
"Presbytis siamensis","Cercopithecidae",0,0,0,0,0,0,50,0,30,20,0,0,1,8.68203961020817
"Presbytis rubicunda","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.74846362994206
"Presbytis potenziani","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.77199043653224
"Presbytis natunae","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.76016289916158
"Presbytis hosei","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.77971129020447
"Presbytis femoralis","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.8538082749772
"Presbytis chrysomelas","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.76016289916158
"Presbytis comata","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.74049672993181
"Presbytis melalophos","Cercopithecidae",0,0,0,0,0,0,40,0,40,20,0,0,1,8.74846362994206
"Procolobus verus","Cercopithecidae",0,0,0,0,0,0,10,0,10,80,0,0,1,8.29429960885724
"Pygathrix nigripes","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.24322567411185
"Pygathrix nemaeus","Cercopithecidae",0,0,0,0,0,0,20,0,0,80,0,0,1,9.02533521755303
"Pygathrix cinerea","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,0,1,9.13427972536322
"Rhinopithecus brelichi","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,0,1,9.41476175209125
"Rhinopithecus avunculus","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,0,1,9.11462100846762
"Rhinopithecus roxellana","Cercopithecidae",0,0,0,0,0,0,10,0,10,80,0,0,1,9.50731414258865
"Semnopithecus priam","Cercopithecidae",0,0,0,0,0,0,40,0,0,60,0,1,1,9.28294006439053
"Semnopithecus ajax","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,1,1,9.28294006439053
"Semnopithecus hypoleucos","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,1,1,9.21310155639545
"Semnopithecus hector","Cercopithecidae",0,0,0,0,0,0,20,0,10,70,0,1,1,9.28294006439053
"Semnopithecus entellus","Cercopithecidae",0,0,0,0,0,0,10,0,0,90,0,1,1,9.35277959679538
"Semnopithecus schistaceus","Cercopithecidae",0,0,0,0,0,0,10,0,10,80,0,1,1,9.28294006439053
"Semnopithecus dussumieri","Cercopithecidae",0,0,0,0,0,0,10,0,10,80,0,1,1,9.28294006439053
"Simias concolor","Cercopithecidae",0,0,0,0,0,0,10,0,10,80,0,0,1,8.90854585240303
"Trachypithecus geei","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.03013657115323
"Trachypithecus shortridgei","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus poliocephalus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus pileatus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.34583234141334
"Trachypithecus phayrei","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.03610602536485
"Trachypithecus obscurus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.76732914779405
"Trachypithecus laotum","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus germaini","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus francoisi","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.89918494333876
"Trachypithecus ebenus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus delacouri","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus cristatus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.03013657115323
"Trachypithecus barbei","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus auratus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.86799089818209
"Trachypithecus hatinhensis","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.04987345331042
"Trachypithecus vetulus","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.0860235374688
"Trachypithecus johnii","Cercopithecidae",0,0,0,0,0,0,30,0,0,70,0,0,1,9.38614071177987
"Bunopithecus hoolock","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.80986280537906
"Hylobates albibarbis","Hylobatidae",0,0,0,0,0,0,70,0,0,30,0,0,1,8.64700668119733
"Hylobates klossii","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.66578559546606
"Hylobates agilis","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.63958779962984
"Hylobates muelleri","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.69968140098951
"Hylobates moloch","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.77971129020447
"Hylobates lar","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.49556089128912
"Hylobates pileatus","Hylobatidae",10,0,0,0,0,0,70,0,0,20,0,0,1,8.60171814648593
"Nomascus concolor","Hylobatidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.76584385279597
"Nomascus siki","Hylobatidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.83217325998505
"Nomascus gabriellae","Hylobatidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.83217325998505
"Nomascus leucogenys","Hylobatidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.89850220964664
"Nomascus hainanus","Hylobatidae",10,0,0,0,0,0,80,0,0,10,0,0,1,8.83217325998505
"Symphalangus syndactylus","Hylobatidae",10,0,0,0,0,0,80,0,0,10,0,0,1,9.29099827499364
"Gorilla gorilla","Hominidae",0,0,0,0,0,0,10,0,0,90,0,0,1,11.7877237973278
"Gorilla beringei","Hominidae",0,0,0,0,0,0,10,0,0,90,0,0,1,11.9138883867635
"Homo sapiens","Hominidae",10,0,0,0,0,0,60,0,0,30,0,0,1,10.9774934040673
"Pan paniscus","Hominidae",10,0,0,0,0,0,60,0,10,20,0,0,1,10.4341475677997
"Pan troglodytes","Hominidae",10,0,0,0,0,0,60,0,0,30,0,0,1,10.6572828840475
"Pongo abelii","Hominidae",10,0,0,0,10,0,80,0,0,0,0,0,1,10.5890339199632
"Pongo pygmaeus","Hominidae",10,0,0,0,10,0,80,0,0,0,0,0,1,10.5187002182882
"Ratufa affinis","Sciuridae",10,0,0,0,10,0,30,0,30,20,0,0,1,7.05380177991138
"Ratufa bicolor","Sciuridae",10,0,0,0,10,0,30,0,30,20,0,0,1,7.62608275807238
